"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Nez Perce County, Idaho",,,"39,265",,,"39,265","39,321","39,431","39,577","39,938","40,007"
"Oneida County, Idaho",,,"4,286",,,"4,286","4,296","4,233","4,223","4,269","4,184"
"Owyhee County, Idaho",,,"11,526",,,"11,526","11,472","11,403","11,409","11,423","11,353"
"Payette County, Idaho",,,"22,623",,,"22,623","22,638","22,550","22,673","22,591","22,836"
"Power County, Idaho",,,"7,817",,,"7,817","7,851","7,768","7,779","7,694","7,617"
"Shoshone County, Idaho",,,"12,765",,,"12,765","12,718","12,655","12,699","12,685","12,390"
"Teton County, Idaho",,,"10,170",,,"10,170","10,154","10,179","10,087","10,301","10,341"
"Twin Falls County, Idaho",,,"77,230",,,"77,230","77,527","77,993","78,392","79,839","80,914"
"Valley County, Idaho",,,"9,862",,,"9,862","9,781","9,606","9,511","9,586","9,826"
"Washington County, Idaho",,,"10,198",,,"10,198","10,190","10,134","10,041","9,954","10,021"
"Adams County, Illinois",,,"67,103",,,"67,103","67,162","67,172","67,199","67,046","66,988"
"Alexander County, Illinois",,,"8,238",,,"8,238","8,206","8,013","7,750","7,643","7,492"
"Bond County, Illinois",,,"17,768",,,"17,768","17,773","17,731","17,621","17,461","17,269"
"Boone County, Illinois",,,"54,165",,,"54,167","54,144","54,223","53,880","53,910","53,869"
"Brown County, Illinois",,,"6,937",,,"6,937","6,911","6,877","6,912","6,857","6,832"
"Bureau County, Illinois",,,"34,978",,,"34,978","34,905","34,640","34,337","34,084","33,840"
"Calhoun County, Illinois",,,"5,089",,,"5,089","5,079","5,067","5,022","5,042","4,956"
"Carroll County, Illinois",,,"15,387",,,"15,388","15,364","15,185","15,003","14,868","14,715"
"Cass County, Illinois",,,"13,642",,,"13,638","13,639","13,647","13,422","13,335","13,156"
"Champaign County, Illinois",,,"201,081",,,"201,081","201,460","202,706","204,009","205,761","207,133"
"Christian County, Illinois",,,"34,800",,,"34,800","34,783","34,720","34,511","34,171","33,892"
"Clark County, Illinois",,,"16,335",,,"16,335","16,296","16,219","16,304","16,203","16,180"
"Clay County, Illinois",,,"13,815",,,"13,815","13,818","13,731","13,733","13,572","13,520"
"Clinton County, Illinois",,,"37,762",,,"37,762","37,819","38,130","38,057","37,895","37,857"
"Coles County, Illinois",,,"53,873",,,"53,873","53,931","53,751","53,631","53,641","53,320"
"Cook County, Illinois",,,"5,194,675",,,"5,195,060","5,198,716","5,214,988","5,232,340","5,246,635","5,246,456"
"Crawford County, Illinois",,,"19,817",,,"19,817","19,808","19,783","19,627","19,514","19,393"
"Cumberland County, Illinois",,,"11,048",,,"11,048","11,041","11,068","10,936","10,871","10,833"
"DeKalb County, Illinois",,,"105,160",,,"105,160","105,119","104,520","104,693","104,802","105,462"
"De Witt County, Illinois",,,"16,561",,,"16,561","16,578","16,548","16,492","16,401","16,284"
"Douglas County, Illinois",,,"19,980",,,"19,982","19,957","19,826","19,832","19,829","19,889"
"DuPage County, Illinois",,,"916,924",,,"916,896","917,911","923,352","926,933","931,522","932,708"
"Edgar County, Illinois",,,"18,576",,,"18,576","18,505","18,396","18,153","17,958","17,841"
"Edwards County, Illinois",,,"6,721",,,"6,721","6,726","6,684","6,731","6,678","6,617"
"Effingham County, Illinois",,,"34,242",,,"34,242","34,197","34,253","34,322","34,306","34,320"
"Fayette County, Illinois",,,"22,140",,,"22,142","22,116","22,160","22,022","22,037","21,870"
"Ford County, Illinois",,,"14,081",,,"14,081","14,078","13,954","13,998","13,814","13,688"
"Franklin County, Illinois",,,"39,561",,,"39,989","40,023","40,002","39,862","39,572","39,411"
"Fulton County, Illinois",,,"37,069",,,"37,069","37,071","36,973","36,659","36,369","36,007"
"Gallatin County, Illinois",,,"5,589",,,"5,589","5,578","5,510","5,414","5,401","5,291"
"Greene County, Illinois",,,"13,886",,,"13,886","13,877","13,841","13,616","13,617","13,434"
"Grundy County, Illinois",,,"50,063",,,"50,063","50,098","50,045","50,150","50,149","50,425"
"Hamilton County, Illinois",,,"8,457",,,"8,457","8,449","8,416","8,364","8,329","8,296"
"Hancock County, Illinois",,,"19,104",,,"19,104","19,093","19,019","18,835","18,531","18,564"
"Hardin County, Illinois",,,"4,320",,,"4,320","4,304","4,281","4,257","4,158","4,129"
"Henderson County, Illinois",,,"7,331",,,"7,328","7,325","7,201","7,019","6,909","6,916"
"Henry County, Illinois",,,"50,486",,,"50,485","50,432","50,267","50,071","49,750","49,635"
"Iroquois County, Illinois",,,"29,718",,,"29,718","29,663","29,510","29,289","29,017","28,879"
"Jackson County, Illinois",,,"60,218",,,"60,218","60,386","60,366","60,214","59,981","59,677"
"Jasper County, Illinois",,,"9,698",,,"9,698","9,706","9,740","9,644","9,577","9,623"
"Jefferson County, Illinois",,,"38,827",,,"38,825","38,804","38,791","38,730","38,721","38,534"
"Jersey County, Illinois",,,"22,985",,,"22,985","22,964","22,850","22,732","22,638","22,571"
"Jo Daviess County, Illinois",,,"22,678",,,"22,677","22,660","22,621","22,380","22,218","22,254"
"Johnson County, Illinois",,,"12,582",,,"12,582","12,610","12,635","12,756","12,648","12,601"
"Kane County, Illinois",,,"515,269",,,"515,302","516,020","519,923","521,843","524,277","527,306"
"Kankakee County, Illinois",,,"113,449",,,"113,449","113,462","113,453","112,926","112,193","111,375"
"Kendall County, Illinois",,,"114,736",,,"114,735","115,240","116,711","118,145","119,525","121,350"
"Knox County, Illinois",,,"52,919",,,"52,919","52,919","52,700","52,314","52,235","52,069"
"Lake County, Illinois",,,"703,462",,,"703,409","704,141","701,012","701,513","704,000","705,186"
"LaSalle County, Illinois",,,"113,924",,,"113,922","113,866","113,463","112,882","112,039","111,241"
"Lawrence County, Illinois",,,"16,833",,,"16,903","16,916","16,814","16,698","16,683","16,519"
"Lee County, Illinois",,,"36,031",,,"36,031","35,970","35,515","35,141","34,881","34,735"
"Livingston County, Illinois",,,"38,950",,,"38,950","38,853","38,844","38,535","38,243","37,903"
"Logan County, Illinois",,,"30,305",,,"30,305","30,283","30,259","30,003","29,943","29,746"
"McDonough County, Illinois",,,"32,612",,,"32,612","32,596","32,501","32,545","32,420","31,880"
"McHenry County, Illinois",,,"308,760",,,"308,826","309,114","307,899","307,775","307,367","307,283"
"McLean County, Illinois",,,"169,572",,,"169,572","169,843","170,734","172,418","174,893","174,061"
"Macon County, Illinois",,,"110,768",,,"110,768","110,757","110,582","110,043","109,435","108,350"
"Macoupin County, Illinois",,,"47,765",,,"47,765","47,784","47,807","47,208","46,892","46,453"
"Madison County, Illinois",,,"269,282",,,"269,328","269,341","268,500","268,039","267,247","266,560"
"Marion County, Illinois",,,"39,437",,,"39,437","39,455","39,014","38,923","38,646","38,571"
"Marshall County, Illinois",,,"12,640",,,"12,640","12,630","12,508","12,301","12,140","12,014"
"Mason County, Illinois",,,"14,666",,,"14,666","14,645","14,475","14,339","14,187","13,898"
"Massac County, Illinois",,,"15,429",,,"15,429","15,400","15,312","15,143","14,980","14,905"
"Menard County, Illinois",,,"12,705",,,"12,705","12,693","12,709","12,709","12,608","12,570"
"Mercer County, Illinois",,,"16,434",,,"16,434","16,425","16,350","16,176","16,123","15,945"
"Monroe County, Illinois",,,"32,957",,,"32,957","33,009","33,233","33,331","33,570","33,722"
"Montgomery County, Illinois",,,"30,104",,,"30,104","30,095","29,839","29,725","29,671","29,359"
"Morgan County, Illinois",,,"35,547",,,"35,551","35,553","35,561","35,279","35,038","34,929"
"Moultrie County, Illinois",,,"14,846",,,"14,846","14,853","14,916","14,973","14,903","14,837"
"Ogle County, Illinois",,,"53,497",,,"53,497","53,448","53,160","52,839","52,377","52,085"
"Peoria County, Illinois",,,"186,494",,,"186,494","186,270","186,675","187,193","188,529","187,319"
"Perry County, Illinois",,,"22,350",,,"22,350","22,331","22,236","22,070","21,861","21,672"
"Piatt County, Illinois",,,"16,729",,,"16,727","16,712","16,672","16,507","16,440","16,431"
"Pike County, Illinois",,,"16,430",,,"16,430","16,400","16,377","16,279","16,142","16,022"
"Pope County, Illinois",,,"4,470",,,"4,470","4,460","4,452","4,289","4,332","4,276"
"Pulaski County, Illinois",,,"6,161",,,"6,161","6,140","6,007","5,971","5,904","5,815"
"Putnam County, Illinois",,,"6,006",,,"6,006","5,994","5,968","5,875","5,825","5,814"
"Randolph County, Illinois",,,"33,476",,,"33,476","33,456","33,269","32,947","32,915","32,869"
"Richland County, Illinois",,,"16,233",,,"16,233","16,207","16,219","16,165","16,068","16,061"
"Rock Island County, Illinois",,,"147,546",,,"147,546","147,632","147,256","147,065","146,804","146,063"
"St. Clair County, Illinois",,,"270,056",,,"270,063","270,406","270,088","268,785","267,065","265,729"
"Saline County, Illinois",,,"24,913",,,"24,913","24,937","24,959","24,981","24,892","24,612"
"Sangamon County, Illinois",,,"197,465",,,"197,465","197,833","198,925","199,247","199,037","198,997"
"Schuyler County, Illinois",,,"7,544",,,"7,544","7,545","7,485","7,486","7,425","7,330"
"Scott County, Illinois",,,"5,355",,,"5,355","5,335","5,232","5,295","5,234","5,204"
"Shelby County, Illinois",,,"22,363",,,"22,363","22,344","22,290","22,233","22,164","22,048"
"Stark County, Illinois",,,"5,994",,,"5,994","5,967","5,839","5,937","5,883","5,813"
"Stephenson County, Illinois",,,"47,711",,,"47,711","47,680","47,396","46,973","46,782","46,435"
"Tazewell County, Illinois",,,"135,394",,,"135,394","135,447","135,742","136,094","136,372","135,707"
"Union County, Illinois",,,"17,808",,,"17,808","17,760","17,702","17,632","17,559","17,447"
"Vermilion County, Illinois",,,"81,625",,,"81,625","81,595","81,358","80,764","80,418","79,728"
"Wabash County, Illinois",,,"11,947",,,"11,947","11,933","11,829","11,716","11,624","11,549"
"Warren County, Illinois",,,"17,707",,,"17,710","17,716","17,843","17,785","17,704","17,874"
"Washington County, Illinois",,,"14,716",,,"14,716","14,699","14,586","14,611","14,404","14,337"
"Wayne County, Illinois",,,"16,760",,,"16,760","16,736","16,620","16,621","16,616","16,543"
"White County, Illinois",,,"14,665",,,"14,665","14,642","14,622","14,582","14,526","14,374"
"Whiteside County, Illinois",,,"58,498",,,"58,498","58,472","58,151","57,627","57,274","56,876"
"Will County, Illinois",,,"677,560",,,"677,560","678,828","680,400","682,187","683,708","685,419"
"Williamson County, Illinois",,,"66,357",,,"66,362","66,433","66,741","66,770","67,088","67,008"
"Winnebago County, Illinois",,,"295,266",,,"295,264","295,151","293,667","291,923","290,845","288,542"
"Woodford County, Illinois",,,"38,664",,,"38,664","38,640","38,913","38,925","39,155","39,187"
"Adams County, Indiana",,,"34,387",,,"34,387","34,435","34,351","34,401","34,685","34,791"
"Allen County, Indiana",,,"355,329",,,"355,327","355,857","358,745","360,832","363,596","365,918"
"Bartholomew County, Indiana",,,"76,794",,,"76,786","76,848","77,621","78,903","79,549","80,217"
"Benton County, Indiana",,,"8,854",,,"8,854","8,883","8,883","8,834","8,748","8,700"
"Blackford County, Indiana",,,"12,766",,,"12,766","12,763","12,680","12,548","12,490","12,401"
"Boone County, Indiana",,,"56,640",,,"56,638","56,836","57,886","59,076","60,519","61,915"
"Brown County, Indiana",,,"15,242",,,"15,242","15,209","15,075","15,068","15,054","14,962"
"Carroll County, Indiana",,,"20,155",,,"20,155","20,161","20,066","20,096","20,096","19,923"
"Cass County, Indiana",,,"38,966",,,"38,966","39,002","38,920","38,746","38,542","38,438"
"Clark County, Indiana",,,"110,232",,,"110,232","110,547","111,534","111,919","112,800","114,262"
"Clay County, Indiana",,,"26,890",,,"26,887","26,870","26,902","26,855","26,797","26,562"
"Clinton County, Indiana",,,"33,224",,,"33,224","33,203","33,043","32,957","32,958","32,776"
"Crawford County, Indiana",,,"10,713",,,"10,713","10,714","10,606","10,645","10,611","10,655"
"Daviess County, Indiana",,,"31,648",,,"31,654","31,713","31,918","32,116","32,303","32,729"
"Dearborn County, Indiana",,,"50,047",,,"50,047","50,093","50,020","49,782","49,799","49,506"
"Decatur County, Indiana",,,"25,740",,,"25,740","25,795","25,895","26,083","26,262","26,524"
"DeKalb County, Indiana",,,"42,223",,,"42,223","42,254","42,413","42,255","42,302","42,383"
"Delaware County, Indiana",,,"117,671",,,"117,671","117,672","117,797","117,309","117,355","117,074"
"Dubois County, Indiana",,,"41,889",,,"41,889","41,898","42,193","42,094","42,318","42,345"
"Elkhart County, Indiana",,,"197,559",,,"197,561","197,441","198,480","199,236","200,591","201,971"
"Fayette County, Indiana",,,"24,277",,,"24,302","24,341","24,163","23,965","23,839","23,468"
"Floyd County, Indiana",,,"74,578",,,"74,580","74,660","74,975","75,284","76,059","76,179"
"Fountain County, Indiana",,,"17,240",,,"17,238","17,258","17,130","17,100","16,863","16,658"
"Franklin County, Indiana",,,"23,087",,,"23,087","23,056","22,997","22,986","22,929","22,934"
"Fulton County, Indiana",,,"20,836",,,"20,836","20,820","20,751","20,664","20,455","20,500"
"Gibson County, Indiana",,,"33,503",,,"33,503","33,527","33,540","33,551","33,554","33,759"
"Grant County, Indiana",,,"70,061",,,"70,063","70,002","69,669","69,283","69,044","68,569"
"Greene County, Indiana",,,"33,165",,,"33,164","33,197","33,119","33,029","32,817","32,726"
"Hamilton County, Indiana",,,"274,569",,,"274,569","276,377","283,213","289,570","296,828","302,623"
"Hancock County, Indiana",,,"70,002",,,"70,045","70,182","70,360","70,641","71,096","71,978"
"Harrison County, Indiana",,,"39,364",,,"39,364","39,365","39,237","39,099","39,082","39,299"
"Hendricks County, Indiana",,,"145,448",,,"145,412","145,849","148,613","150,722","153,644","156,056"
"Henry County, Indiana",,,"49,462",,,"49,462","49,474","49,343","49,259","49,066","48,995"
"Howard County, Indiana",,,"82,752",,,"82,752","82,766","82,888","82,973","82,961","82,982"
"Huntington County, Indiana",,,"37,124",,,"37,124","37,096","37,171","36,979","36,841","36,706"
"Jackson County, Indiana",,,"42,376",,,"42,380","42,584","42,920","42,990","43,436","43,705"
"Jasper County, Indiana",,,"33,478",,,"33,478","33,502","33,402","33,453","33,381","33,475"
"Jay County, Indiana",,,"21,253",,,"21,253","21,176","21,376","21,370","21,296","21,179"
"Jefferson County, Indiana",,,"32,428",,,"32,428","32,425","32,298","32,506","32,511","32,494"
"Jennings County, Indiana",,,"28,525",,,"28,525","28,465","28,196","28,182","28,272","28,000"
"Johnson County, Indiana",,,"139,654",,,"139,867","140,274","141,767","143,562","145,806","147,538"
"Knox County, Indiana",,,"38,440",,,"38,440","38,383","38,468","38,051","38,064","37,938"
"Kosciusko County, Indiana",,,"77,358",,,"77,356","77,346","77,389","77,654","77,997","78,564"
"LaGrange County, Indiana",,,"37,128",,,"37,130","37,168","37,491","37,635","38,067","38,436"
"Lake County, Indiana",,,"496,005",,,"496,031","496,055","494,820","493,194","491,403","490,228"
"LaPorte County, Indiana",,,"111,467",,,"111,467","111,421","111,187","111,158","111,256","111,444"
"Lawrence County, Indiana",,,"46,134",,,"46,129","46,138","46,088","46,045","45,873","45,704"
"Madison County, Indiana",,,"131,636",,,"131,636","131,665","131,051","130,284","130,370","130,069"
"Marion County, Indiana",,,"903,393",,,"903,389","904,710","910,798","918,581","928,349","934,243"
"Marshall County, Indiana",,,"47,051",,,"47,051","47,008","46,981","47,025","47,037","47,107"
"Martin County, Indiana",,,"10,334",,,"10,378","10,376","10,338","10,322","10,230","10,203"
"Miami County, Indiana",,,"36,903",,,"36,903","36,795","36,585","36,502","36,133","35,954"
"Monroe County, Indiana",,,"137,974",,,"137,959","138,520","140,339","141,289","142,020","143,339"
"Montgomery County, Indiana",,,"38,124",,,"38,126","38,096","38,343","38,202","38,130","38,146"
"Morgan County, Indiana",,,"68,894",,,"68,939","69,156","69,206","69,216","69,446","69,693"
"Newton County, Indiana",,,"14,244",,,"14,244","14,257","14,129","14,079","14,079","14,156"
"Noble County, Indiana",,,"47,536",,,"47,536","47,471","47,460","47,424","47,511","47,618"
"Ohio County, Indiana",,,"6,128",,,"6,128","6,108","6,084","6,103","6,035","6,035"
"Orange County, Indiana",,,"19,840",,,"19,840","19,815","19,916","19,696","19,727","19,626"
"Owen County, Indiana",,,"21,575",,,"21,583","21,587","21,516","21,363","21,170","20,969"
"Parke County, Indiana",,,"17,339",,,"17,354","17,299","17,123","17,112","17,234","17,233"
"Perry County, Indiana",,,"19,338",,,"19,338","19,419","19,469","19,429","19,488","19,454"
"Pike County, Indiana",,,"12,845",,,"12,844","12,847","12,755","12,774","12,666","12,624"
"Porter County, Indiana",,,"164,343",,,"164,347","164,491","165,442","165,659","166,427","167,076"
"Posey County, Indiana",,,"25,910",,,"25,910","25,855","25,680","25,616","25,515","25,540"
"Pulaski County, Indiana",,,"13,402",,,"13,402","13,345","13,280","13,053","13,004","12,967"
"Putnam County, Indiana",,,"37,963",,,"37,952","37,928","37,882","37,681","37,532","37,618"
"Randolph County, Indiana",,,"26,171",,,"26,171","26,165","26,005","25,835","25,616","25,384"
"Ripley County, Indiana",,,"28,818",,,"28,818","28,815","28,719","28,529","28,443","28,497"
"Rush County, Indiana",,,"17,392",,,"17,392","17,367","17,317","17,134","17,025","16,892"
"St. Joseph County, Indiana",,,"266,931",,,"266,929","266,784","266,756","266,571","266,850","267,618"
"Scott County, Indiana",,,"24,181",,,"24,181","24,193","23,945","23,784","23,852","23,712"
"Shelby County, Indiana",,,"44,436",,,"44,393","44,322","44,355","44,382","44,502","44,579"
"Spencer County, Indiana",,,"20,952",,,"20,952","20,890","21,056","20,875","20,844","20,801"
"Starke County, Indiana",,,"23,363",,,"23,363","23,370","23,219","23,197","23,215","23,074"
"Steuben County, Indiana",,,"34,185",,,"34,183","34,135","34,058","34,155","34,294","34,308"
"Sullivan County, Indiana",,,"21,475",,,"21,475","21,419","21,246","21,227","21,193","21,050"
"Switzerland County, Indiana",,,"10,613",,,"10,613","10,622","10,567","10,402","10,528","10,452"
"Tippecanoe County, Indiana",,,"172,780",,,"172,780","173,011","175,485","178,180","180,925","183,074"
"Tipton County, Indiana",,,"15,936",,,"15,936","15,874","15,846","15,721","15,584","15,415"
"Union County, Indiana",,,"7,516",,,"7,516","7,538","7,477","7,340","7,309","7,246"
"Vanderburgh County, Indiana",,,"179,703",,,"179,703","179,790","180,285","180,781","181,524","182,006"
"Vermillion County, Indiana",,,"16,212",,,"16,212","16,145","16,112","15,955","15,855","15,693"
"Vigo County, Indiana",,,"107,848",,,"107,848","107,880","108,321","108,589","108,356","108,175"
"Wabash County, Indiana",,,"32,888",,,"32,888","32,852","32,581","32,428","32,348","32,252"
"Warren County, Indiana",,,"8,508",,,"8,508","8,502","8,474","8,386","8,393","8,352"
"Warrick County, Indiana",,,"59,689",,,"59,689","59,863","60,240","60,439","61,001","61,149"
"Washington County, Indiana",,,"28,262",,,"28,262","28,290","28,180","27,925","27,810","27,878"
"Wayne County, Indiana",,,"68,917",,,"69,003","68,959","68,822","68,371","67,978","67,671"
"Wells County, Indiana",,,"27,636",,,"27,636","27,658","27,724","27,678","27,736","27,862"
"White County, Indiana",,,"24,643",,,"24,643","24,680","24,506","24,408","24,376","24,453"
"Whitley County, Indiana",,,"33,292",,,"33,292","33,335","33,288","33,270","33,238","33,403"
"Adair County, Iowa",,,"7,682",,,"7,682","7,693","7,588","7,515","7,463","7,454"
"Adams County, Iowa",,,"4,029",,,"4,029","4,023","3,993","3,904","3,892","3,875"
"Allamakee County, Iowa",,,"14,330",,,"14,328","14,344","14,200","14,131","14,046","14,038"
"Appanoose County, Iowa",,,"12,887",,,"12,887","12,869","12,870","12,711","12,659","12,661"
"Audubon County, Iowa",,,"6,119",,,"6,119","6,108","6,016","5,876","5,880","5,794"
"Benton County, Iowa",,,"26,076",,,"26,076","26,059","26,137","25,861","25,737","25,680"
"Black Hawk County, Iowa",,,"131,090",,,"131,090","131,158","131,429","131,661","132,591","132,897"
"Boone County, Iowa",,,"26,306",,,"26,306","26,276","26,336","26,234","26,352","26,433"
"Bremer County, Iowa",,,"24,276",,,"24,276","24,283","24,363","24,463","24,577","24,721"
"Buchanan County, Iowa",,,"20,958",,,"20,958","20,946","20,879","20,942","20,932","21,038"
"Buena Vista County, Iowa",,,"20,260",,,"20,260","20,328","20,264","20,548","20,584","20,578"
"Butler County, Iowa",,,"14,867",,,"14,867","14,902","14,948","14,977","14,998","15,006"
"Calhoun County, Iowa",,,"9,670",,,"10,177","10,162","10,054","9,910","9,909","9,866"
"Carroll County, Iowa",,,"20,816",,,"20,816","20,828","20,848","20,674","20,599","20,562"
"Cass County, Iowa",,,"13,956",,,"13,956","13,927","13,779","13,720","13,598","13,448"
"Cedar County, Iowa",,,"18,499",,,"18,497","18,511","18,445","18,425","18,379","18,411"
"Cerro Gordo County, Iowa",,,"44,151",,,"44,151","44,100","43,965","43,711","43,505","43,254"
"Cherokee County, Iowa",,,"12,072",,,"12,072","12,131","12,046","11,981","11,918","11,836"
"Chickasaw County, Iowa",,,"12,439",,,"12,439","12,414","12,408","12,270","12,288","12,264"
"Clarke County, Iowa",,,"9,286",,,"9,286","9,301","9,302","9,340","9,259","9,217"
"Clay County, Iowa",,,"16,667",,,"16,667","16,624","16,601","16,563","16,474","16,515"
"Clayton County, Iowa",,,"18,129",,,"18,129","18,090","18,000","17,934","17,785","17,692"
"Clinton County, Iowa",,,"49,116",,,"49,116","49,109","49,103","48,723","48,330","48,051"
"Crawford County, Iowa",,,"17,096",,,"17,096","17,127","17,210","17,306","17,422","17,228"
"Dallas County, Iowa",,,"66,135",,,"66,137","66,652","69,722","72,121","74,727","77,400"
"Davis County, Iowa",,,"8,753",,,"8,753","8,791","8,774","8,709","8,770","8,781"
"Decatur County, Iowa",,,"8,457",,,"8,457","8,415","8,257","8,250","8,245","8,263"
"Delaware County, Iowa",,,"17,764",,,"17,764","17,772","17,650","17,572","17,499","17,398"
"Des Moines County, Iowa",,,"40,325",,,"40,325","40,250","40,099","40,271","40,452","40,255"
"Dickinson County, Iowa",,,"16,667",,,"16,667","16,658","16,879","16,965","16,949","16,935"
"Dubuque County, Iowa",,,"93,653",,,"93,653","93,893","94,507","95,147","95,912","96,370"
"Emmet County, Iowa",,,"10,302",,,"10,302","10,281","10,080","9,997","9,994","9,990"
"Fayette County, Iowa",,,"20,880",,,"20,880","20,860","20,966","20,794","20,501","20,343"
"Floyd County, Iowa",,,"16,303",,,"16,303","16,318","16,124","16,136","16,110","16,077"
"Franklin County, Iowa",,,"10,680",,,"10,680","10,685","10,683","10,526","10,531","10,436"
"Fremont County, Iowa",,,"7,441",,,"7,441","7,421","7,360","7,134","7,063","7,022"
"Greene County, Iowa",,,"9,336",,,"9,337","9,332","9,305","9,161","9,156","9,200"
"Grundy County, Iowa",,,"12,453",,,"12,453","12,447","12,458","12,423","12,311","12,375"
"Guthrie County, Iowa",,,"10,954",,,"10,954","10,943","10,861","10,771","10,675","10,722"
"Hamilton County, Iowa",,,"15,673",,,"15,673","15,630","15,447","15,308","15,312","15,117"
"Hancock County, Iowa",,,"11,341",,,"11,341","11,305","11,276","11,164","11,102","11,027"
"Hardin County, Iowa",,,"17,534",,,"17,534","17,531","17,384","17,378","17,424","17,311"
"Harrison County, Iowa",,,"14,928",,,"14,937","14,925","14,796","14,520","14,437","14,324"
"Henry County, Iowa",,,"20,145",,,"20,145","20,121","20,318","20,112","20,219","20,217"
"Howard County, Iowa",,,"9,566",,,"9,566","9,558","9,545","9,582","9,511","9,449"
"Humboldt County, Iowa",,,"9,815",,,"9,814","9,801","9,799","9,733","9,683","9,640"
"Ida County, Iowa",,,"7,089",,,"7,089","7,069","7,079","7,091","7,142","7,042"
"Iowa County, Iowa",,,"16,355",,,"16,355","16,320","16,340","16,206","16,341","16,375"
"Jackson County, Iowa",,,"19,848",,,"19,848","19,829","19,720","19,689","19,562","19,482"
"Jasper County, Iowa",,,"36,842",,,"36,842","36,805","36,624","36,544","36,731","36,872"
"Jefferson County, Iowa",,,"16,843",,,"16,843","16,816","17,011","17,084","17,276","17,325"
"Johnson County, Iowa",,,"130,882",,,"130,882","131,267","133,730","136,913","139,814","142,287"
"Jones County, Iowa",,,"20,638",,,"20,638","20,685","20,752","20,619","20,524","20,454"
"Keokuk County, Iowa",,,"10,511",,,"10,511","10,499","10,366","10,398","10,313","10,231"
"Kossuth County, Iowa",,,"15,543",,,"15,543","15,517","15,369","15,351","15,277","15,222"
"Lee County, Iowa",,,"35,862",,,"35,862","35,860","35,605","35,622","35,386","35,286"
"Linn County, Iowa",,,"211,226",,,"211,226","211,616","213,973","215,206","216,087","217,751"
"Louisa County, Iowa",,,"11,387",,,"11,387","11,372","11,370","11,327","11,294","11,161"
"Lucas County, Iowa",,,"8,898",,,"8,898","8,889","8,836","8,764","8,735","8,701"
"Lyon County, Iowa",,,"11,581",,,"11,581","11,558","11,706","11,760","11,692","11,683"
"Madison County, Iowa",,,"15,679",,,"15,679","15,722","15,724","15,627","15,463","15,609"
"Mahaska County, Iowa",,,"22,381",,,"22,381","22,397","22,505","22,417","22,412","22,370"
"Marion County, Iowa",,,"33,309",,,"33,309","33,248","33,352","33,378","33,196","33,365"
"Marshall County, Iowa",,,"40,648",,,"40,648","40,682","40,982","41,058","41,022","40,866"
"Mills County, Iowa",,,"15,059",,,"15,059","15,074","15,036","14,881","14,910","14,831"
"Mitchell County, Iowa",,,"10,776",,,"10,772","10,789","10,702","10,727","10,724","10,779"
"Monona County, Iowa",,,"9,243",,,"9,243","9,240","9,262","9,142","9,104","8,996"
"Monroe County, Iowa",,,"7,970",,,"7,970","7,984","8,046","8,071","7,992","8,001"
"Montgomery County, Iowa",,,"10,740",,,"10,740","10,694","10,651","10,558","10,421","10,421"
"Muscatine County, Iowa",,,"42,745",,,"42,747","42,758","42,799","42,905","42,918","42,903"
"O'Brien County, Iowa",,,"14,398",,,"14,398","14,400","14,201","14,163","14,047","14,056"
"Osceola County, Iowa",,,"6,462",,,"6,462","6,451","6,312","6,190","6,222","6,218"
"Page County, Iowa",,,"15,932",,,"15,943","15,934","15,926","15,751","15,577","15,496"
"Palo Alto County, Iowa",,,"9,421",,,"9,421","9,399","9,365","9,281","9,170","9,099"
"Plymouth County, Iowa",,,"24,986",,,"24,981","24,977","24,839","24,881","24,924","24,874"
"Pocahontas County, Iowa",,,"7,310",,,"7,310","7,284","7,216","7,161","7,154","7,138"
"Polk County, Iowa",,,"430,640",,,"430,635","432,243","437,770","443,984","451,822","459,862"
"Pottawattamie County, Iowa",,,"93,158",,,"93,149","93,384","93,490","92,918","92,846","93,128"
"Poweshiek County, Iowa",,,"18,914",,,"18,914","18,902","18,861","18,759","18,634","18,668"
"Ringgold County, Iowa",,,"5,131",,,"5,131","5,129","5,101","5,085","5,046","5,051"
"Sac County, Iowa",,,"10,350",,,"10,350","10,343","10,220","10,162","10,049","10,035"
"Scott County, Iowa",,,"165,224",,,"165,224","165,752","167,053","168,827","170,553","171,387"
"Shelby County, Iowa",,,"12,167",,,"12,167","12,168","12,038","12,071","11,944","11,948"
"Sioux County, Iowa",,,"33,704",,,"33,704","33,716","34,034","34,348","34,524","34,681"
"Story County, Iowa",,,"89,542",,,"89,542","89,596","90,896","91,721","93,410","94,073"
"Tama County, Iowa",,,"17,767",,,"17,767","17,723","17,619","17,526","17,523","17,451"
"Taylor County, Iowa",,,"6,317",,,"6,317","6,308","6,266","6,223","6,187","6,143"
"Union County, Iowa",,,"12,534",,,"12,534","12,506","12,557","12,591","12,599","12,516"
"Van Buren County, Iowa",,,"7,570",,,"7,570","7,560","7,511","7,454","7,440","7,468"
"Wapello County, Iowa",,,"35,625",,,"35,625","35,652","35,444","35,349","35,373","35,212"
